,name,price,ratings,image
86,SeGrand Clay Kadai (2 litres) and Tawa (8 inch Diameter) Combo Set - with Handle and Lid for Cooking on Gas - Hand Crafted Terracotta Earthen Pot,Rs. 949,3.7 out of 5 stars,https://m.media-amazon.com/images/I/618VhpR0y6L._AC_UL320_.jpg
87,"Kitchen Crafting Present Stainless Steel Oil Dispenser 1000ml, Oil Pot, Oil Can, Oil Kitchen Container with nozzle vinegar sauce liquid condiment dispenser of 1 Litre (Silver, Pack of 1)",Rs. 469,4.0 out of 5 stars,https://m.media-amazon.com/images/I/41MzuG3OmsL._AC_UL320_.jpg
88,"SHIBU Utensil Kart Momos and Idli Steamer 4 Tier Premium Aluminium Momo Maker with Handles, Durable 4 Tier Steamer for Cooking, Suitable for Home's Kitchen (Silver, Small, 4L Size)",Rs. 649,3.0 out of 5 stars,https://m.media-amazon.com/images/I/61W45anPRIS._AC_UL320_.jpg
89,"SHIBU Utensil Kart Momos 3 Tier Premium Aluminium Momo Maker with Handles, Durable Steamer for Cooking, Small Size 4L, Silver",Rs. 599,3.4 out of 5 stars,https://m.media-amazon.com/images/I/41AIPyeKJXL._AC_UL320_.jpg
90,Daily Deals Cast Iron Pre-Seasoned Grill Pan (Black),"Rs. 1,499",3.8 out of 5 stars,https://m.media-amazon.com/images/I/816+iVrE4-L._AC_UL320_.jpg
91,"SHIBU Aluminum Momos Maker & Steamer With Handles (5L), Silver",Rs. 699,3.7 out of 5 stars,https://m.media-amazon.com/images/I/711qf5TsTWL._AC_UL320_.jpg
92,"Anchgorh Sheesham Wooden Spoon Set | Spatula Set | Cutlery Sets | Wooden Utensils | Kitchen Tools | Serving Spoon | Cooking Spoon Set for Kitchen, Set of 3, Brown",Rs. 222,5.0 out of 5 stars,https://m.media-amazon.com/images/I/71TXyBivlHL._AC_UL320_.jpg
93,"cooking : From Scratch: Intended to inspire you, these recipes are easy to prepare and are adaptable to your taste and of course the price of available ingredients.",Rs. 0,3.0 out of 5 stars,https://m.media-amazon.com/images/I/81NMulDwMhL._AC_UL320_.jpg
94,ARDVAN INDIA Clay Pot Terracotta Cooking Gas Dahi Earthenware Biryani Serving Curd Handcrafted Handi with Lid (Brown Polished 2000 Ml) | Pot | Dinnerware Bowl Microwave Safe,Rs. 799,5.0 out of 5 stars,https://m.media-amazon.com/images/I/61CY9CFfzPL._AC_UL320_.jpg
95,PTR Heavy Base Aluminum Kadhai/Frying Pan for Cooking (1 Litre),Rs. 399,4.1 out of 5 stars,https://m.media-amazon.com/images/I/518jcaDHZTL._AC_UL320_.jpg
96,"Fortune Rice Bran Health Oil, Cooking Oil for Healthier Heart, 5l Jar",Rs. 894,4.4 out of 5 stars,https://m.media-amazon.com/images/I/41fAkhF7UtL._AC_UL320_.jpg
97,"VAGHBHATT Clay/Earthen Kadai/ Pots for Cooking ( 1lit, Used on lpg , Brown , Terracotta)",Rs. 639,3.3 out of 5 stars,https://m.media-amazon.com/images/I/41yjCsArBkL._AC_UL320_.jpg
98,"Bell Pepper Handmade Wooden Spatula Set for Non-Stick Cooking and Serving Kitchen Tools Sheesham Premium Spoons - 1 Soup ladle, 1 Spatula (Set of 2, Brown)",Rs. 299,4.2 out of 5 stars,https://m.media-amazon.com/images/I/610-1DWd3dL._AC_UL320_.jpg
99,"LONGMIRE Barbie Kitchen Set for Kids Girls Toys | Kids Toys for Girls Kitchen Cooking Toy Set with Briefcase ,Pretend Play Set for 3 Years Old Kids - Yellow",Rs. 599,5.0 out of 5 stars,https://m.media-amazon.com/images/I/61osWV8tVKL._AC_UL320_.jpg
100,LNE CRAFTS Handmade Clay Handi/kadai for Veg Non Veg Cooking Pot can be use Gas Stove (Small) 1 LTR,Rs. 389,5.0 out of 5 stars,https://m.media-amazon.com/images/I/7165nxjh9aS._AC_UL320_.jpg
101,Ikai Asai Hand Crafted Black Clay Medium Cooking Pot,"Rs. 6,000",4.0 out of 5 stars,https://m.media-amazon.com/images/I/61kV4o9Dd4L._AC_UL320_.jpg
102,AmazonBasics Non-Stick 8-Piece Cookware Set,"Rs. 2,529",4.2 out of 5 stars,https://m.media-amazon.com/images/I/715qOOqdKNL._AC_UL320_.jpg
103,SeGrand Clay Kadai (2 litres) and Tawa (8 inch Diameter) Combo Set - with Handle and Lid for Cooking on Gas - Hand Crafted Terracotta Earthen Pot,Rs. 949,3.7 out of 5 stars,https://m.media-amazon.com/images/I/618VhpR0y6L._AC_UL320_.jpg
104,SeGrand Clay Kadai (2 L) with Handle and Lid for Cooking on Gas - Unglazed and Non Coated Hand Crafted Terracotta Earthen Pot - Brown,Rs. 789,3.5 out of 5 stars,https://m.media-amazon.com/images/I/710c8wI7fFL._AC_UL320_.jpg
105,"Craftsman India online Pre-Seasoned Gas Stove and Microwave Unglazed Pottery Earthen Kadai/Clay Pots Combo for Cooking (1 and 2 L, Black)",Rs. 799,4.0 out of 5 stars,https://m.media-amazon.com/images/I/61s2682DHcS._AC_UL320_.jpg
106,FAIRY HOME™ Water Proof Canvas Plain Cooking Apron with Pocket Set of 4,Rs. 349,5.0 out of 5 stars,https://m.media-amazon.com/images/I/61lfAudCVyL._AC_UL320_.jpg
107,"Saffola Total Refined Cooking Oil | Blended Rice Bran & Safflower Oil | Helps Manage Cholesterol | Pouch, 4 X 1L Pouch",Rs. 765,5.0 out of 5 stars,https://m.media-amazon.com/images/I/71hsMUXTUWL._AC_UL320_.jpg
108,Oddy Uniwraps Ecobake Baking and Cooking Parchment Paper- White (10 inch X 20m ),Rs. 199,4.5 out of 5 stars,https://m.media-amazon.com/images/I/517p0n5PNdL._AC_UL320_.jpg
